id,rue,cp,ville,adresse_full,name,raison_sociale,telephone,accueil_1,accueil_2,eco_orgs,folder_type
fvm_0013,51 rue de la Paperie Saint Barthélémy d'Anjou,49124,SAINT BARTHELEMY D ANJOU,51 rue de la Paperie Saint Barthélémy d'Anjou - 49124 SAINT BARTHELEMY D ANJOU,Déchèterie Villechien,ANGERS LOIRE METROPOLE,,,Particuliers,,Point d'apport volontaire
fvm_0014,Rue Paul Héroult,49460,MONTREUIL JUIGNE,Rue Paul Héroult - 49460 MONTREUIL JUIGNE,Déchèterie Haut- Coudray,ANGERS LOIRE METROPOLE,,,Particuliers,,Point d'apport volontaire
fvm_0015,,49250,SEGRÉ EN ANJOU,49250 SEGRÉ EN ANJOU,Déchèterie Segré,ANJOU BLEU COMMUNAUTE,,,Particuliers,,Point d'apport volontaire
fvm_0016,D183,49500,Chazé sur Argos,D183 - 49500 Chazé sur Argos,Déchèterie Chazé/Argos,ANJOU BLEU COMMUNAUTE,,,Particuliers,,Point d'apport volontaire
fvm_0017,Boulevard Denis Papin,49520,OMBREE D'ANJOU,Boulevard Denis Papin - 49520 OMBREE D'ANJOU,Déchèterie Combrée,ANJOU BLEU COMMUNAUTE,,,Particuliers,,Point d'apport volontaire
fvm_0018,Rue de la Pidaie,49420,OMBREE D'ANJOU,Rue de la Pidaie - 49420 OMBREE D'ANJOU,Déchèterie Pouancé,ANJOU BLEU COMMUNAUTE,,,Particuliers,,Point d'apport volontaire
fvm_0019,37 rue de perthuis,42220,SAINT SAUVEUR EN RUE,37 rue de perthuis - 42220 - SAINT SAUVEUR EN RUE,Déchetterie Pro,BARALLON / Valorsol environnement,04 77 39 20 81,Professionnels,Particuliers,Valobat,Point d'apport volontaire
fvm_0020,"ZAC LES HAUTS DE COUERON, 22 RUE JAN PALACH",44220,Coueron,"ZAC LES HAUTS DE COUERON, 22 RUE JAN PALACH, 44220 Coueron",BARBAZANGES TRI OUEST Coueron,BARBAZANGES TRI OUEST,,,,,Point d'apport volontaire
fvm_0021,ZI du Bois Imbert,85280,LA FERRIERE,ZI du Bois Imbert - 85280 - LA FERRIERE,Exploitation Bati La Ferrière,BATI RECYCLAGE,02 51 27 22 00,Professionnels,,,Point d'apport volontaire
fvm_0022,Rue René Panhard,44702,Orvault,"Rue René Panhard, 44702 Orvault",BATIDOC ORVAULT,BATIDOC,02 40 20 09 66,,,,Point d'apport volontaire
fvm_0023,PONT ILLIZ,56310,MELRAND,PONT ILLIZ - 56310 MELRAND,Déchèterie de MELRAND,Baud communauté,02 97 51 98 35,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0024,KERLEDORZ,56310,PLUMELIAU,KERLEDORZ - 56310 PLUMELIAU,Déchèterie de PLUMELIAU,Baud communauté,02 97 51 98 35,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0025,ZA Mont Saint Sébastien - Rue du Mont,77111,Soignolles en Brie,ZA Mont Saint Sébastien - Rue du Mont - 77111 Soignolles en Brie,BIG BENNES,BIG BENNES,01 64 06 72 93,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0026,CHEMIN DE FARNIER,43000,LE PUY EN VELAY,CHEMIN DE FARNIER - 43000 LE PUY EN VELAY,BIGMAT LAURENT,BIGMAT LAURENT,471066880,Professionnels,Particuliers,Valdélia,Point d'apport volontaire
fvm_0027,14 FAUBOURG MOLLIAN,42130,BOEN,14 FAUBOURG MOLLIAN - 42130 BOEN,BIGMAT SAGRA,BIGMAT SAGRA,477240925,Professionnels,Particuliers,Valdélia,Point d'apport volontaire
fvm_0028,3 BOULEVARD DE LA BOISSONNETTE,42110,FEURS,3 BOULEVARD DE LA BOISSONNETTE - 42110 FEURS,BIGMAT SAGRA,BIGMAT SAGRA,477262622,Professionnels,Particuliers,Valdélia,Point d'apport volontaire
fvm_0029,5 RUE DORIAN,42700,FIRMINY,5 RUE DORIAN - 42700 FIRMINY,BIGMAT SAGRA,BIGMAT SAGRA,477560444,Professionnels,Particuliers,Valdélia,Point d'apport volontaire
fvm_0030,1388 RUE PIERRE SEMARD,42153,RIORGES,1388 RUE PIERRE SEMARD - 42153 RIORGES,BIGMAT SAGRA,BIGMAT SAGRA,477445252,Professionnels,Particuliers,Valdélia,Point d'apport volontaire
fvm_0031,LES GRAVIERES,42340,RIVAS,LES GRAVIERES - 42340 RIVAS,BIGMAT SAGRA,BIGMAT SAGRA,477546907,Professionnels,Particuliers,Valdélia,Point d'apport volontaire
fvm_0032,1685 AVENUE DU FOREZ,69590,SAINT SYMPHORIEN SUR COISE,1685 AVENUE DU FOREZ - 69590 SAINT SYMPHORIEN SUR COISE,BIGMAT SAGRA,BIGMAT SAGRA,478445950,Professionnels,Particuliers,Valdélia,Point d'apport volontaire
fvm_0033,FOUR A CHAUX,42600,SAVIGNEUX,FOUR A CHAUX - 42600 SAVIGNEUX,BIGMAT SAGRA,BIGMAT SAGRA,477588526,Professionnels,Particuliers,Valdélia,Point d'apport volontaire
fvm_0034,47 RUE EDOUARD MARTEL,42100,ST ETIENNE,47 RUE EDOUARD MARTEL - 42100 ST ETIENNE,BIGMAT SAGRA,BIGMAT SAGRA,477813281,Professionnels,Particuliers,Valdélia,Point d'apport volontaire
fvm_0035,85 Rue de la Chanière,39570,Perrigny,"85 Rue de la Chanière, 39570 Perrigny",BOUILLER MATERIAUX PERRIGNY,BOUILLER MATERIAUX PERRIGNY,03 84 25 70 72,,,Valobat,Point d'apport volontaire
fvm_0036,"4 avenue d'Aquitaine Lieu dit ""Argenteyre""",33560,SAINTE-EULALIE,"4 avenue d'Aquitaine Lieu dit ""Argenteyre"" - 33560 - SAINTE-EULALIE",Déchèterie Sainte Eulalie,BRANGEON,05 56 69 76 56,Professionnels,,,Point d'apport volontaire
fvm_0037,3 rue Surcouf,33000,BORDEAUX,3 rue Surcouf - 33000 - BORDEAUX,Déchèterie Bordeaux,BRANGEON,05 56 69 76 56,Professionnels,,,Point d'apport volontaire
fvm_0038,34-36 RUE DE LA SEINE,35470,BAIN DE BRETAGNE,34-36 RUE DE LA SEINE - 35470 BAIN DE BRETAGNE,BRETAGNE MATERIAUX,BRETAGNE MATERIAUX BAIN DE BRETAGNE,,Professionnels,,Valobat,Point d'apport volontaire
fvm_0039,35 RUE SAINT MARC,22300,LANNION,35 RUE SAINT MARC - 22300 LANNION,BRETAGNE MATERIAUX,BRETAGNE MATERIAUX LANNION,,Professionnels,,Valobat,Point d'apport volontaire
fvm_0040,36 ROUTE NATIONALE 10,78690,LES ESSARTS LE ROI,36 ROUTE NATIONALE 10 -78690 LES ESSARTS LE ROI,BRICO DEPOT LES ESSARTS,BRICO DEPOT,01 34 57 13 60,,,Ecomaison,Point d'apport volontaire
fvm_0041,La Garenne de Melleville,27930,GUICHAINVILLE,La Garenne de Melleville - 27930 GUICHAINVILLE,BRICOMAN Evreux,BRICOMAN,02 32 23 51 51,,,Valobat,Point d'apport volontaire
fvm_0042,"Route nationale 112, ZAE POLE MEDITERRANEE",34420,VILLENEUVE-LES-BEZIERS,"Route nationale 112, ZAE POLE MEDITERRANEE 34420 VILLENEUVE-LES-BEZIERS",BRICOMAN Villeneuve Les Béziers,BRICOMAN,06 23 33 65 87,Professionnels,Particuliers,Valobat,Point d'apport volontaire
fvm_0043,Siège BRICOMAN,,,Siège BRICOMAN,BRICOMAN Villeneuve Les Béziers,BRICOMAN,06 23 33 65 87,Professionnels,Particuliers,Valobat,Point d'apport volontaire
fvm_0044,Zac du clos aux pois,91090,Lisses,"Zac du clos aux pois, 91090 Lisses",Lisses,Bricoman,,,,Valobat,Point d'apport volontaire
fvm_0045,Route des Templiers,91310,Monthléry,"Route des Templiers, 91310 Monthléry",Montlhery,Bricoman,06 10 41 12 48,,,Valobat,Point d'apport volontaire
fvm_0046,9 Av. de Rome,13127,Vitrolles,"9 Av. de Rome, 13127 Vitrolles",Bricoman Vitrolles,Bricoman,,Professionnels,Particuliers,Valobat,Point d'apport volontaire
fvm_0047,"Centre Commercial Géant Casino ""La Thalie",71100,,"Centre Commercial Géant Casino ""La Thalie, 71100",BRICOMAN CHALON SUR SAONE,BRICOMAN CHALON SUR SAONE,03 85 45 00 48,,,Valobat,Point d'apport volontaire
fvm_0048,ZAC DE LA GRANDE PORTE,59180,CAPPELLE LA GRANDE,ZAC DE LA GRANDE PORTE - 59180 CAPPELLE LA GRANDE,BRICOMAN DUNKERQUE,BRICOMAN DUNKERQUE,03 28 24 58 58,Professionnels,,Valobat,Point d'apport volontaire
fvm_0049,ZAC FORUM DE PICARDIE,02100,SAINT QUENTIN,ZAC FORUM DE PICARDIE - 02100 SAINT QUENTIN,BRICOMAN SAINT QUENTIN,BRICOMAN SAINT QUENTIN,03 23 67 78 49,Professionnels,,Valobat,Point d'apport volontaire
fvm_0050,5 Rue Amédée Bollée - ZI La Folie Sud,85310,LA CHAIZE LE VICOMTE,5 Rue Amédée Bollée - ZI La Folie Sud - 85310 LA CHAIZE LE VICOMTE,Broyage Fin Micronisation,Broyage Fin Micronisation,02 55 90 02 32,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0051,77 avenue du 69 Régiment d'infanterie,54270,ESSEY LES NANCY,77 avenue du 69 Régiment d'infanterie - 54270 ESSEY LES NANCY,C2I Chantier cours de stockge,C2I TCS,03 83 21 98 66,Professionnels,Particuliers,valobat,Point d'apport volontaire
fvm_0052,Impasse des Ponts,57490,L' Hôpital,Impasse des Ponts - 57490 L' Hôpital,Déchèterie L'hôpital,CA SAINT AVOLD SYNERGIE,,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0053,Zone Industrielle Lavoisier,57340,Morhange,Zone Industrielle Lavoisier - 57340 Morhange,Décheterie Morhange,CA SAINT AVOLD SYNERGIE,,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0054,Zone Artisanale - Rue du Chemin de Fer,57730,VALMONT,Zone Artisanale - Rue du Chemin de Fer - 57730 VALMONT,Décheterie Valmont,CA SAINT AVOLD SYNERGIE,,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0055,ZI Sainte Agathe,57190,Florange,ZI Sainte Agathe - 57190 Florange,Déchèterie Florange,CA VAL DE FENSCH,,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0056,ZI Saint Jacques,57700,Hayange,ZI Saint Jacques - 57700 Hayange,Déchèterie Hayange,CA VAL DE FENSCH,,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0057,PA DE LANN CUINET/ RUE THOMAS EDISON,56390,GRAND CHAMP,PA DE LANN CUINET/ RUE THOMAS EDISON - 56390 GRAND CHAMP,CAB56,CAB56,,Professionnels,,,Point d'apport volontaire
fvm_0058,ZA les Castelliers,27930,LA CHAPELLE,ZA les Castelliers - 27930 LA CHAPELLE,CARRE RECYCLAGE La chapelle,CARRE RECYCLAGE,02 32 67 04 81,,,Valobat,Point d'apport volontaire
fvm_0059,10 Rue du Rossignol,57330,HETTANGE-GRANDE,10 Rue du Rossignol - 57330 HETTANGE-GRANDE,Déchèterie ETTANGE GRANDE,CC CATTENOM ET ENVIRONS,,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0060,Route du Luxembourg (RD1),57570,CATTENOM-SENTZICH,Route du Luxembourg (RD1) - 57570 CATTENOM-SENTZICH,Déchèterie SENTZICH,CC CATTENOM ET ENVIRONS,,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0061,Rue du château,54470,Bernécourt,Rue du château - 54470 Bernécourt,Déchèterie BERNECOURT,CC MAD ET MOSELLE,,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0062,1 B Route de Saint-Julien,54470,Charey,1 B Route de Saint-Julien - 54470 Charey,Déchèterie CHAREY,CC MAD ET MOSELLE,,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0063,Route de Virton,55600,Montmedy,Route de Virton - 55600 Montmedy,Déchèterie MONTMEDY,CC PAYS DE MONTMEDY,,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0064,12 rue Marechal Foch,57390,Audun-le-Tiche,12 rue Marechal Foch - 57390 Audun-le-Tiche,Déchèterie AUDUN LE TICHE,CC PAYS HAUT VAL D'ALZETTE,,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0065,font des saints,57365,ENNERY,font des saints - 57365 - ENNERY,DECH ENNERY,CC RIVES DE MOSELLE,,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0066,2 Rue Emile Galle,57280,MAIZIERES LES METZ,2 Rue Emile Galle - 57280 - MAIZIERES LES METZ,DECH MAIZIERES LES METZ,CC RIVES DE MOSELLE,,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0067,57 Chp de Mars,57270,RICHEMONT,57 Chp de Mars - 57270 - RICHEMONT,DECH RICHEMONT,CC RIVES DE MOSELLE,,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0068,Chemin d'Hauconcourt,57525,TALANGE,Chemin d'Hauconcourt - 57525 - TALANGE,DECH TALANGE,CC RIVES DE MOSELLE,,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0069,Route de Bechy,57580,REMILLY,Route de Bechy - 57580 - REMILLY,DECH REMILLY,CC SUD MESSIN,,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0070,141 A Les Hauts Chênes,57420,VERNY,141 A Les Hauts Chênes - 57420 - VERNY,DECH VERNY,CC SUD MESSIN,,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0071,Rue du pré contal,54300,Lunéville,Rue du pré contal - 54300 Lunéville,Déchèterie LUNEVILLE,CC TERRITOIRE DE LUNEVILLE A BACCARAT,,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0072,BRENOLO,56660,SAINT JEAN BREVELAY,BRENOLO - 56660 SAINT JEAN BREVELAY,Déchèterie SAINT JEAN BREVELAY,Centre Morbihan communauté,02 97 60 42 29,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0073,RUE DU 8 MAI 1945,91470,PECQUEUSE,RUE DU 8 MAI 1945 - 91470 PECQUEUSE,CHAVIGNY AGENCE DE LIMOURS,CHAVIGNY,01 64 91 00 44,,,Ecomaison,Point d'apport volontaire
fvm_0074,23 rue des Genêts,57800,Betting,23 rue des Genêts - 57800 - Betting,CITRAVAL BETTING,CITRAVAL,03 87 04 15 89,Professionnels,,,Point d'apport volontaire
fvm_0075,380 rue des épicéas,54840,BOIS-DE-HAYE,380 rue des épicéas - 54840 BOIS-DE-HAYE,CITRAVAL BOIS-DE-HAYE,CITRAVAL,03 83 64 62 94,Professionnels,,Valobat,Point d'apport volontaire
fvm_0076,Rue Nicolas Barry,88150,Chavelot,Rue Nicolas Barry - 88150 - Chavelot,CITRAVAL CHAVELOT,CITRAVAL,03 29 29 81 86,Professionnels,,,Point d'apport volontaire
fvm_0077,Chemin de Ramonville,57120,Rombas,Chemin de Ramonville - 57120 - Rombas,CITRAVAL ROMBAS,CITRAVAL,03 87 67 84 08,Professionnels,,,Point d'apport volontaire
fvm_0078,Rue de Sarrebourg,57400,Sarraltroff,Rue de Sarrebourg - 57400 - Sarraltroff,CITRAVAL SARRALTROFF,CITRAVAL,03 67 07 95 65,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0079,rue de la Libération,50480,Ste-Mère-Eglise,rue de la Libération - 50480 Ste-Mère-Eglise,Decheterie de Carquebut,Com Com Baie du Cotentin,,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0080,Kerdanvez,29160,Crozon,Kerdanvez - 29160 - Crozon,Déchèterie de Crozon,ComCom  Crozon,,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0081,Navarrou,29570,Camaret,Navarrou - 29570 - Camaret,Déchèterie de Camaret,ComCom  Crozon,,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0082,Kerguelen,29590,Rosnoën,Kerguelen - 29590 - Rosnoën,Déchèterie de Rosnoën,ComCom  Crozon,,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0083,Péren,29150,Chateaulin,Péren - 29150 - Chateaulin,Déchèterie de chateaulin,ComCom chateaulin,,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0084,Cosquerou,29190,Pleyben,Cosquerou - 29190 - Pleyben,Déchèterie de Pleyben,ComCom chateaulin,,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0085,La croix neuve,29550,Plonevez Porzay,La croix neuve - 29550 - Plonevez Porzay,Déchèterie de Plonenez Porzay,ComCom chateaulin,,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0086,8 rue des Ateliers,67210,Obernai,8 rue des Ateliers - 67210 Obernai,Déchèterie d'Obernai,ComCom du Pays de Ste Odile,03 88 95 53 52,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0087,RD 215,67880,Krautergersheim,RD 215 - 67880 Krautergersheim,Déchèterie de Krautergersheim,ComCom du Pays de Ste Odile,03 88 95 53 52,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0088,209 Av. de la Roudet,33500,Libourne,209 Av. de la Roudet - 33500 Libourne,Déchèterie professionnelle de Libourne,Communauté d'Agglomération du Libourne,,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0089,2 route de la Belle Croix,50200,Gratot,2 route de la Belle Croix - 50200 Gratot,Decheterie de Gratot,Coutances Mer et Bocage,,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0090,2 rue du Manoir,50660,Quettreville-sur-Sienne,2 rue du Manoir - 50660 Quettreville-sur-Sienne,decheterie de Hyenville,Coutances Mer et Bocage,,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0091,ZI du sactar,84500,BOLLENE,ZI du sactar- 84500 - BOLLENE,Déchetterie Pro,CVA Alcyon / Valorsol environnement,04 90 30 99 12,Professionnels,Particuliers,Valobat,Point d'apport volontaire
fvm_0092,Route de Verneuil,28340,LAMBLORE,Route de Verneuil - 28340 LAMBLORE,DECHETERIE Lamblore,DECHETERIE,02 37 23 32 63,,,Valobat,Point d'apport volontaire
fvm_0093,Le Pressoir,28240,SAINT-ÉLIPH,Le Pressoir - 28240 SAINT-ÉLIPH,DECHETERIE ST Eliph,DECHETERIE,06 79 07 98 33,,,Valobat,Point d'apport volontaire
fvm_0094,ZI D ACTIVITES - ROUTE D OULINS,28260,,ZI D ACTIVITES - ROUTE D OULINS - 28260,DECHETERIE ANET,DECHETERIE,01 34 57 12 20,,,Ecomaison,Point d'apport volontaire
fvm_0095,4 Rue du Chemin Vert,95100,Argenteuil,4 Rue du Chemin Vert  95100 Argenteuil,Déchèterie d'Argenteuil \ SYNDICAT AZUR,Décheterie,01 30 25 23 15,Professionnels,Particuliers,Valobat,Point d'apport volontaire
fvm_0096,Rue de Pierrelaye,95550,BESSANCOURT,Rue de Pierrelaye 95550 BESSANCOURT,Déchèterie de Bessancourt \ S.MIXTE TRI-ACTION,Décheterie,,Professionnels,Particuliers,Valobat,Point d'apport volontaire
fvm_0097,85 rue du 14 juillet,93140,Bondy,85 rue du 14 juillet 93140 Bondy,Déchèterie de Bondy \ Est Ensemble,Décheterie,,Professionnels,Particuliers,Valobat,Point d'apport volontaire
fvm_0098,78 Avenue Paul Vaillant Couturier,93120,La Courneuve,78 Avenue Paul Vaillant Couturier 93120 La Courneuve,TERSEN Site de LA COURNEUVE,Décheterie,06 49 87 31 10,Professionnels,,Valobat,Point d'apport volontaire
fvm_0099,ZI DU BOIS DE LA FONTAINE - 10 RUE DES EPIS,91670,ANGERVILLE,ZI DU BOIS DE LA FONTAINE - 10 RUE DES EPIS - 91670 ANGERVILLE,DECHETERIE ANGERVILLE,DECHETERIE,01 34 57 12 20,,,Ecomaison,Point d'apport volontaire
fvm_0100,RUE DES VAUX DE CERNAY,78610,AUFFARGIS,RUE DES VAUX DE CERNAY - 78610 AUFFARGIS,DECHETERIE AUFFARGIS,DECHETERIE,07 48 11 00 67,,,Ecomaison,Point d'apport volontaire
fvm_0101,ROUTE DE LA BEAUCHE,28270,BREZOLLES,ROUTE DE LA BEAUCHE - 28270 BREZOLLES,DECHETERIE BREZOLLES,DECHETERIE,07 57 49 41 61,,,Ecomaison,Point d'apport volontaire
fvm_0102,5 RUE DES TILLEULS,28120,ILLERS COMBRAY,5 RUE DES TILLEULS - 28120 ILLERS COMBRAY,DECHETERIE ILLIERS COMBRAY,DECHETERIE,02 37 96 74 66,,,Ecomaison,Point d'apport volontaire
fvm_0103,,27540,IVRY LA BATAILLE,27540 IVRY LA BATAILLE,DECHETERIE IVRY LA BATAILLE,DECHETERIE,07 57 49 41 65,,,Ecomaison,Point d'apport volontaire
fvm_0104,11 RUE DU BOEL,28310,JANVILLE,11 RUE DU BOEL - 28310 JANVILLE,DECHETRIE JANVILLE,DECHETERIE,07 48 11 00 64,,,Ecomaison,Point d'apport volontaire
fvm_0105,BOIS DE LA FOLIE,28150,OUARVILLE,BOIS DE LA FOLIE - 28150 OUARVILLE,DECHETERIE OUARVILLE,DECHETERIE,07 48 11 00 70,,,Ecomaison,Point d'apport volontaire
fvm_0106,2 RUE DU CLOS DE MAROLLE,28130,PIERRES,2 RUE DU CLOS DE MAROLLE - 28130 PIERRES,DECHETERIE PIERRES,DECHETERIE,07 48 10 95 53,,,Ecomaison,Point d'apport volontaire
fvm_0107,ROUTE D ABLIS,78730,SAINT ARNOULT EN YVELINES,ROUTE D ABLIS 78730 SAINT ARNOULT EN YVELINES,DECHETERIE ST ANOULT,DECHETERIE,07 57 49 41 63,,,Ecomaison,Point d'apport volontaire
fvm_0108,ROUTE DE GENONVILLE,28150,LES VILLAGES VOVEENS,ROUTE DE GENONVILLE 28150 LES VILLAGES VOVEENS,DECHETERIE VOVES,DECHETERIE,07 48 11 00 66,,,Ecomaison,Point d'apport volontaire
fvm_0109,16 ROUTE DE DAMVILLE,27320,LA MADELAINE DE NONANCOURT,16 ROUTE DE DAMVILLE - 27320 LA MADELAINE DE NONANCOURT,DECHETERIE LA MADELAINE DE NONANCOURT,DECHETERIE,07 57 49 41 63,,,Ecomaison,Point d'apport volontaire
fvm_0110,,39220,Les Rousses,39220 Les Rousses,DECHETERIE  LES ROUSSES,DECHETERIE  LES ROUSSES,03 84 33 41 61,,,Valobat,Point d'apport volontaire
fvm_0111,,39240,Arinthod,39240 Arinthod,DECHETERIE D ARINTHOD,DECHETERIE D ARINTHOD,03 84 48 50 33,,,Valobat,Point d'apport volontaire
fvm_0112,14 Chem. des Alamans,39270,Orgelet,"14 Chem. des Alamans, 39270 Orgelet",DECHETERIE D ORGELET,DECHETERIE D ORGELET,03 84 35 58 17.,,,Valobat,Point d'apport volontaire
fvm_0113,,53300,Ambrières-les-Vallées,53300 Ambrières-les-Vallées,Déchèterie d'Ambrieres-les-vallees,Déchèterie d'Ambrieres-les-vallees,02 43 08 15 69,Professionnels,Particuliers,Valobat,Point d'apport volontaire
fvm_0114,,39190,Beaufort,39190 Beaufort,DECHETERIE DE BEAUFORT,DECHETERIE DE BEAUFORT,03 84 25 15 84,,,Valobat,Point d'apport volontaire
fvm_0115,Rue Saint-Gilles,53290,Bierné-les-Village,Rue Saint-Gilles - 53290 Bierné-les-Village,Déchèterie de Bierné,Déchèterie de Bierné,02 43 09 59 27,Professionnels,Particuliers,Valobat,Point d'apport volontaire
fvm_0116,All. du Bois,39100,Brevans,"All. du Bois, 39100 Brevans",DECHETERIE DE BREVANS,DECHETERIE DE BREVANS,03 84 69 11 48,,,Valobat,Point d'apport volontaire
fvm_0117,437 Rue du Mont Rivel,39300,Champagnole,"437 Rue du Mont Rivel, 39300 Champagnole",DECHETERIE DE CHAMPAGNOLE,DECHETERIE DE CHAMPAGNOLE,03 84 52 42 70,,,Valobat,Point d'apport volontaire
fvm_0118,Rue de l'aiguillage,39230,Chaumergy,"Rue de l'aiguillage, 39230 Chaumergy",DECHETERIE DE CHAUMERGY,DECHETERIE DE CHAUMERGY,03 84 48 60 49,,,Valobat,Point d'apport volontaire
fvm_0119,,39120,Chaussin,39120 Chaussin,DECHETERIE DE CHAUSSIN,DECHETERIE DE CHAUSSIN,03 84 82 56 19,,,Valobat,Point d'apport volontaire
fvm_0120,,39130,Clairvaux-les-Lacs,39130 Clairvaux-les-Lacs,DECHETERIE DE CLAIRVAUX LES LACS,DECHETERIE DE CLAIRVAUX LES LACS,03 84 25 80 37,,,Valobat,Point d'apport volontaire
fvm_0121,Rte de Niafles,53400,Craon,Rte de Niafles - 53400 Craon,Déchèterie de Craon,Déchèterie de Craon,,Professionnels,Particuliers,Valobat,Point d'apport volontaire
fvm_0122,Rte de Dommartin,71480,Cuiseaux,"Rte de Dommartin, 71480 Cuiseaux",DECHETERIE DE CUISEAUX,DECHETERIE DE CUISEAUX,06 32 22 69 43,,,Valobat,Point d'apport volontaire
fvm_0123,163-307 Rue des Bruyères,71290,Cuisery,"163-307 Rue des Bruyères, 71290 Cuisery",DECHETERIE DE CUISERY,DECHETERIE DE CUISERY,06 32 22 69 43,,,Valobat,Point d'apport volontaire
