id,rue,cp,ville,adresse_full,name,raison_sociale,telephone,accueil_1,accueil_2,eco_orgs,folder_type,result_label,result_score,result_type,latitude,longitude
fvm_0015,,49250,SEGRÉ EN ANJOU,49250 SEGRÉ EN ANJOU,Déchèterie Segré,ANJOU BLEU COMMUNAUTE,,,Particuliers,,Point d'apport volontaire,La Herse 49250 Beaufort-en-Anjou,0.36301350649350644,street,47.404889,-0.192804
fvm_0016,D183,49500,Chazé sur Argos,D183 - 49500 Chazé sur Argos,Déchèterie Chazé/Argos,ANJOU BLEU COMMUNAUTE,,,Particuliers,,Point d'apport volontaire,Chazé-sur-Argos,0.6966491866028708,municipality,47.613472,-0.89657
fvm_0017,Boulevard Denis Papin,49520,OMBREE D'ANJOU,Boulevard Denis Papin - 49520 OMBREE D'ANJOU,Déchèterie Combrée,ANJOU BLEU COMMUNAUTE,,,Particuliers,,Point d'apport volontaire,Boulevard des Abrais 49520 Ombrée d'Anjou,0.636742857142857,street,47.710563,-0.995847
fvm_0018,Rue de la Pidaie,49420,OMBREE D'ANJOU,Rue de la Pidaie - 49420 OMBREE D'ANJOU,Déchèterie Pouancé,ANJOU BLEU COMMUNAUTE,,,Particuliers,,Point d'apport volontaire,Rue de la pidaie 49420 Ombrée d'Anjou,0.9590063636363636,street,47.747702,-1.167144
fvm_0019,37 rue de perthuis,42220,SAINT SAUVEUR EN RUE,37 rue de perthuis - 42220 - SAINT SAUVEUR EN RUE,Déchetterie Pro,BARALLON / Valorsol environnement,04 77 39 20 81,Professionnels,Particuliers,Valobat,Point d'apport volontaire,37 Rue du Perthuis 42220 Saint-Sauveur-en-Rue,0.8609827272727273,housenumber,45.266519,4.492478
fvm_0020,"ZAC LES HAUTS DE COUERON, 22 RUE JAN PALACH",44220,Coueron,"ZAC LES HAUTS DE COUERON, 22 RUE JAN PALACH, 44220 Coueron",BARBAZANGES TRI OUEST Coueron,BARBAZANGES TRI OUEST,,,,,Point d'apport volontaire,22 Rue Jan Palach 44220 Couëron,0.4984490166975881,housenumber,47.234794,-1.667006
fvm_0021,ZI du Bois Imbert,85280,LA FERRIERE,ZI du Bois Imbert - 85280 - LA FERRIERE,Exploitation Bati La Ferrière,BATI RECYCLAGE,02 51 27 22 00,Professionnels,,,Point d'apport volontaire,Rue du Bois Imbert 85280 La Ferrière,0.8078769794721407,street,46.701735,-1.335103
fvm_0022,Rue René Panhard,44702,Orvault,"Rue René Panhard, 44702 Orvault",BATIDOC ORVAULT,BATIDOC,02 40 20 09 66,,,,Point d'apport volontaire,,,,,
fvm_0023,PONT ILLIZ,56310,MELRAND,PONT ILLIZ - 56310 MELRAND,Déchèterie de MELRAND,Baud communauté,02 97 51 98 35,Professionnels,Particuliers,,Point d'apport volontaire,Pont Iliz 56310 Melrand,0.8891531550802139,street,47.981747,-3.096218
fvm_0024,KERLEDORZ,56310,PLUMELIAU,KERLEDORZ - 56310 PLUMELIAU,Déchèterie de PLUMELIAU,Baud communauté,02 97 51 98 35,Professionnels,Particuliers,,Point d'apport volontaire,Kercadoret 56310 Pluméliau-Bieuzy,0.424059853372434,street,48.000954,-3.027165
fvm_0025,ZA Mont Saint Sébastien - Rue du Mont,77111,Soignolles en Brie,ZA Mont Saint Sébastien - Rue du Mont - 77111 Soignolles en Brie,BIG BENNES,BIG BENNES,01 64 06 72 93,Professionnels,Particuliers,,Point d'apport volontaire,Ferme de Mont Sebastien 77111 Soignolles-en-Brie,0.572052126348228,locality,48.639906,2.729929
fvm_0026,CHEMIN DE FARNIER,43000,LE PUY EN VELAY,CHEMIN DE FARNIER - 43000 LE PUY EN VELAY,BIGMAT LAURENT,BIGMAT LAURENT,471066880,Professionnels,Particuliers,Valdélia,Point d'apport volontaire,Rue de Farnier 43000 Le Puy-en-Velay,0.7262983116883116,street,45.047929,3.907358
fvm_0027,14 FAUBOURG MOLLIAN,42130,BOEN,14 FAUBOURG MOLLIAN - 42130 BOEN,BIGMAT SAGRA,BIGMAT SAGRA,477240925,Professionnels,Particuliers,Valdélia,Point d'apport volontaire,14 Rue du Faubourg Mollian 42130 Boën-sur-Lignon,0.5920054545454545,housenumber,45.739042,4.011796
fvm_0028,3 BOULEVARD DE LA BOISSONNETTE,42110,FEURS,3 BOULEVARD DE LA BOISSONNETTE - 42110 FEURS,BIGMAT SAGRA,BIGMAT SAGRA,477262622,Professionnels,Particuliers,Valdélia,Point d'apport volontaire,3 Boulevard de la Boissonnette 42110 Feurs,0.9632,housenumber,45.735984,4.228663
fvm_0029,5 RUE DORIAN,42700,FIRMINY,5 RUE DORIAN - 42700 FIRMINY,BIGMAT SAGRA,BIGMAT SAGRA,477560444,Professionnels,Particuliers,Valdélia,Point d'apport volontaire,5 Rue Dorian 42700 Firminy,0.965380909090909,housenumber,45.39073,4.280572
fvm_0030,1388 RUE PIERRE SEMARD,42153,RIORGES,1388 RUE PIERRE SEMARD - 42153 RIORGES,BIGMAT SAGRA,BIGMAT SAGRA,477445252,Professionnels,Particuliers,Valdélia,Point d'apport volontaire,1388 Rue Pierre Semard 42153 Riorges,0.9646690909090909,housenumber,46.056624,4.051443
fvm_0031,LES GRAVIERES,42340,RIVAS,LES GRAVIERES - 42340 RIVAS,BIGMAT SAGRA,BIGMAT SAGRA,477546907,Professionnels,Particuliers,Valdélia,Point d'apport volontaire,Les Gravieres 42340 Rivas,0.9373390909090907,street,45.589328,4.237966
fvm_0032,1685 AVENUE DU FOREZ,69590,SAINT SYMPHORIEN SUR COISE,1685 AVENUE DU FOREZ - 69590 SAINT SYMPHORIEN SUR COISE,BIGMAT SAGRA,BIGMAT SAGRA,478445950,Professionnels,Particuliers,Valdélia,Point d'apport volontaire,1685 Avenue du Forez 69590 Saint-Symphorien-sur-Coise,0.9589527272727272,housenumber,45.630431,4.441562
fvm_0033,FOUR A CHAUX,42600,SAVIGNEUX,FOUR A CHAUX - 42600 SAVIGNEUX,BIGMAT SAGRA,BIGMAT SAGRA,477588526,Professionnels,Particuliers,Valdélia,Point d'apport volontaire,Nouvelle Rue des Fours à Chaux 42600 Savigneux,0.4992636363636363,street,45.608417,4.09563
fvm_0034,47 RUE EDOUARD MARTEL,42100,ST ETIENNE,47 RUE EDOUARD MARTEL - 42100 ST ETIENNE,BIGMAT SAGRA,BIGMAT SAGRA,477813281,Professionnels,Particuliers,Valdélia,Point d'apport volontaire,47 Rue Edouard Martel 42100 Saint-Étienne,0.8450825974025973,housenumber,45.422981,4.376331
fvm_0035,85 Rue de la Chanière,39570,Perrigny,"85 Rue de la Chanière, 39570 Perrigny",BOUILLER MATERIAUX PERRIGNY,BOUILLER MATERIAUX PERRIGNY,03 84 25 70 72,,,Valobat,Point d'apport volontaire,85 Rue de la Chanière 39570 Perrigny,0.9456445454545453,housenumber,46.682081,5.582548
fvm_0036,"4 avenue d'Aquitaine Lieu dit ""Argenteyre""",33560,SAINTE-EULALIE,"4 avenue d'Aquitaine Lieu dit ""Argenteyre"" - 33560 - SAINTE-EULALIE",Déchèterie Sainte Eulalie,BRANGEON,05 56 69 76 56,Professionnels,,,Point d'apport volontaire,Avenue de l’Aquitaine 33560 Sainte-Eulalie,0.5864561038961038,street,44.901201,-0.491831
fvm_0037,3 rue Surcouf,33000,BORDEAUX,3 rue Surcouf - 33000 - BORDEAUX,Déchèterie Bordeaux,BRANGEON,05 56 69 76 56,Professionnels,,,Point d'apport volontaire,3 Rue de la Course 33000 Bordeaux,0.541378211143695,housenumber,44.85164,-0.574834
fvm_0038,34-36 RUE DE LA SEINE,35470,BAIN DE BRETAGNE,34-36 RUE DE LA SEINE - 35470 BAIN DE BRETAGNE,BRETAGNE MATERIAUX,BRETAGNE MATERIAUX BAIN DE BRETAGNE,,Professionnels,,Valobat,Point d'apport volontaire,rue de la Seine 35470 Bain-de-Bretagne,0.813875307125307,street,47.853982,-1.684214
fvm_0039,35 RUE SAINT MARC,22300,LANNION,35 RUE SAINT MARC - 22300 LANNION,BRETAGNE MATERIAUX,BRETAGNE MATERIAUX LANNION,,Professionnels,,Valobat,Point d'apport volontaire,35 Rue de Saint-Marc 22300 Lannion,0.8647089898989898,housenumber,48.734805,-3.438879
fvm_0040,36 ROUTE NATIONALE 10,78690,LES ESSARTS LE ROI,36 ROUTE NATIONALE 10 -78690 LES ESSARTS LE ROI,BRICO DEPOT LES ESSARTS,BRICO DEPOT,01 34 57 13 60,,,Ecomaison,Point d'apport volontaire,36 Route Nationale 10 78690 Les Essarts-le-Roi,0.9617327272727272,housenumber,48.718693,1.883586
fvm_0041,La Garenne de Melleville,27930,GUICHAINVILLE,La Garenne de Melleville - 27930 GUICHAINVILLE,BRICOMAN Evreux,BRICOMAN,02 32 23 51 51,,,Valobat,Point d'apport volontaire,rue de la Garenne de Melleville 27930 Guichainville,0.8091337190082645,street,49.009193,1.172046
fvm_0042,"Route nationale 112, ZAE POLE MEDITERRANEE",34420,VILLENEUVE-LES-BEZIERS,"Route nationale 112, ZAE POLE MEDITERRANEE 34420 VILLENEUVE-LES-BEZIERS",BRICOMAN Villeneuve Les Béziers,BRICOMAN,06 23 33 65 87,Professionnels,Particuliers,Valobat,Point d'apport volontaire,Rond-point de la Méditerranée 34420 Villeneuve-lès-Béziers,0.5277959459459459,locality,43.320738,3.292803
fvm_0043,Siège BRICOMAN,,,Siège BRICOMAN,BRICOMAN Villeneuve Les Béziers,BRICOMAN,06 23 33 65 87,Professionnels,Particuliers,Valobat,Point d'apport volontaire,le Siege 44780 Missillac,0.345500303030303,street,47.491245,-2.157249
fvm_0044,Zac du clos aux pois,91090,Lisses,"Zac du clos aux pois, 91090 Lisses",Lisses,Bricoman,,,,Valobat,Point d'apport volontaire,Rue du Clos aux Pois 91090 Lisses,0.7614849529780564,street,48.597953,2.438089
fvm_0045,Route des Templiers,91310,Monthléry,"Route des Templiers, 91310 Monthléry",Montlhery,Bricoman,06 10 41 12 48,,,Valobat,Point d'apport volontaire,Route des Templiers 91310 Montlhéry,0.7890851026392961,street,48.647359,2.261008
fvm_0046,9 Av. de Rome,13127,Vitrolles,"9 Av. de Rome, 13127 Vitrolles",Bricoman Vitrolles,Bricoman,,Professionnels,Particuliers,Valobat,Point d'apport volontaire,9 Avenue de Rome 13127 Vitrolles,0.7597797902097901,housenumber,43.430673,5.25493
fvm_0047,"Centre Commercial Géant Casino ""La Thalie",71100,,"Centre Commercial Géant Casino ""La Thalie, 71100",BRICOMAN CHALON SUR SAONE,BRICOMAN CHALON SUR SAONE,03 85 45 00 48,,,Valobat,Point d'apport volontaire,,,,,
fvm_0048,ZAC DE LA GRANDE PORTE,59180,CAPPELLE LA GRANDE,ZAC DE LA GRANDE PORTE - 59180 CAPPELLE LA GRANDE,BRICOMAN DUNKERQUE,BRICOMAN DUNKERQUE,03 28 24 58 58,Professionnels,,Valobat,Point d'apport volontaire,,,,,
fvm_0049,ZAC FORUM DE PICARDIE,02100,SAINT QUENTIN,ZAC FORUM DE PICARDIE - 02100 SAINT QUENTIN,BRICOMAN SAINT QUENTIN,BRICOMAN SAINT QUENTIN,03 23 67 78 49,Professionnels,,Valobat,Point d'apport volontaire,Rue de Picardie 02100 Saint-Quentin,0.7206865656565655,street,49.842284,3.273953
fvm_0050,5 Rue Amédée Bollée - ZI La Folie Sud,85310,LA CHAIZE LE VICOMTE,5 Rue Amédée Bollée - ZI La Folie Sud - 85310 LA CHAIZE LE VICOMTE,Broyage Fin Micronisation,Broyage Fin Micronisation,02 55 90 02 32,Professionnels,Particuliers,,Point d'apport volontaire,5 Rue amédée bollée 85310 La Chaize-le-Vicomte,0.6889371900826445,housenumber,46.666184,-1.332426
fvm_0051,77 avenue du 69 Régiment d'infanterie,54270,ESSEY LES NANCY,77 avenue du 69 Régiment d'infanterie - 54270 ESSEY LES NANCY,C2I Chantier cours de stockge,C2I TCS,03 83 21 98 66,Professionnels,Particuliers,valobat,Point d'apport volontaire,77 Av du 69e Regiment d’Infanterie 54270 Essey-lès-Nancy,0.8493803367003366,housenumber,48.708701,6.237781
fvm_0052,Impasse des Ponts,57490,L' Hôpital,Impasse des Ponts - 57490 L' Hôpital,Déchèterie L'hôpital,CA SAINT AVOLD SYNERGIE,,Professionnels,Particuliers,,Point d'apport volontaire,Impasse des Ponts 57490 L'Hôpital,0.9542727272727273,street,49.15421,6.727046
fvm_0053,Zone Industrielle Lavoisier,57340,Morhange,Zone Industrielle Lavoisier - 57340 Morhange,Décheterie Morhange,CA SAINT AVOLD SYNERGIE,,Professionnels,Particuliers,,Point d'apport volontaire,Rue Lavoisier 57340 Morhange,0.5109868304668304,street,48.936363,6.649756
fvm_0054,Zone Artisanale - Rue du Chemin de Fer,57730,VALMONT,Zone Artisanale - Rue du Chemin de Fer - 57730 VALMONT,Décheterie Valmont,CA SAINT AVOLD SYNERGIE,,Professionnels,Particuliers,,Point d'apport volontaire,Zone Artisanale du Stade 57730 Macheren,0.443676993006993,street,49.095648,6.753928
fvm_0055,ZI Sainte Agathe,57190,Florange,ZI Sainte Agathe - 57190 Florange,Déchèterie Florange,CA VAL DE FENSCH,,Professionnels,Particuliers,,Point d'apport volontaire,Rue Sainte Agathe 57190 Florange,0.8001016498316498,street,49.322372,6.123845
fvm_0056,ZI Saint Jacques,57700,Hayange,ZI Saint Jacques - 57700 Hayange,Déchèterie Hayange,CA VAL DE FENSCH,,Professionnels,Particuliers,,Point d'apport volontaire,Zone Indust St Jacques 57700 Hayange,0.5233870588235293,locality,49.33237,6.05879
fvm_0057,PA DE LANN CUINET/ RUE THOMAS EDISON,56390,GRAND CHAMP,PA DE LANN CUINET/ RUE THOMAS EDISON - 56390 GRAND CHAMP,CAB56,CAB56,,Professionnels,,,Point d'apport volontaire,Rue Thomas Edison 56390 Grand-Champ,0.5910078656126483,street,47.752157,-2.835437
fvm_0058,ZA les Castelliers,27930,LA CHAPELLE,ZA les Castelliers - 27930 LA CHAPELLE,CARRE RECYCLAGE La chapelle,CARRE RECYCLAGE,02 32 67 04 81,,,Valobat,Point d'apport volontaire,,,,,
fvm_0059,10 Rue du Rossignol,57330,HETTANGE-GRANDE,10 Rue du Rossignol - 57330 HETTANGE-GRANDE,Déchèterie ETTANGE GRANDE,CC CATTENOM ET ENVIRONS,,Professionnels,Particuliers,,Point d'apport volontaire,10 Rue du Rossignol 57330 Hettange-Grande,0.9557181818181818,housenumber,49.417509,6.151119
fvm_0060,Route du Luxembourg (RD1),57570,CATTENOM-SENTZICH,Route du Luxembourg (RD1) - 57570 CATTENOM-SENTZICH,Déchèterie SENTZICH,CC CATTENOM ET ENVIRONS,,Professionnels,Particuliers,,Point d'apport volontaire,Rue de Luxembourg 57570 Cattenom,0.4795842975206612,street,49.409784,6.244941
fvm_0061,Rue du château,54470,Bernécourt,Rue du château - 54470 Bernécourt,Déchèterie BERNECOURT,CC MAD ET MOSELLE,,Professionnels,Particuliers,,Point d'apport volontaire,Rue du Château 54470 Bernécourt,0.9381927272727272,street,48.84186,5.845138
fvm_0062,1 B Route de Saint-Julien,54470,Charey,1 B Route de Saint-Julien - 54470 Charey,Déchèterie CHAREY,CC MAD ET MOSELLE,,Professionnels,Particuliers,,Point d'apport volontaire,1bis Route de Saint-julien 54470 Charey,0.8122924926686216,housenumber,49.004256,5.886242
fvm_0063,Route de Virton,55600,Montmedy,Route de Virton - 55600 Montmedy,Déchèterie MONTMEDY,CC PAYS DE MONTMEDY,,Professionnels,Particuliers,,Point d'apport volontaire,Route de Montmedy 55600 Écouviez,0.6729456126482213,street,49.52158,5.453252
fvm_0064,12 rue Marechal Foch,57390,Audun-le-Tiche,12 rue Marechal Foch - 57390 Audun-le-Tiche,Déchèterie AUDUN LE TICHE,CC PAYS HAUT VAL D'ALZETTE,,Professionnels,Particuliers,,Point d'apport volontaire,12 Rue du Marechal Foch 57390 Audun-le-Tiche,0.8908335626535626,housenumber,49.472766,5.957308
fvm_0065,font des saints,57365,ENNERY,font des saints - 57365 - ENNERY,DECH ENNERY,CC RIVES DE MOSELLE,,Professionnels,Particuliers,,Point d'apport volontaire,Fontaine des Saints 57365 Ennery,0.7326916083916084,locality,49.233374,6.230507
fvm_0066,2 Rue Emile Galle,57280,MAIZIERES LES METZ,2 Rue Emile Galle - 57280 - MAIZIERES LES METZ,DECH MAIZIERES LES METZ,CC RIVES DE MOSELLE,,Professionnels,Particuliers,,Point d'apport volontaire,2 Rue Emile Galle 57280 Maizières-lès-Metz,0.949780909090909,housenumber,49.204065,6.150108
fvm_0067,57 Chp de Mars,57270,RICHEMONT,57 Chp de Mars - 57270 - RICHEMONT,DECH RICHEMONT,CC RIVES DE MOSELLE,,Professionnels,Particuliers,,Point d'apport volontaire,Rue des Carrossiers 57270 Richemont,0.45682259740259734,street,49.275053,6.169589
fvm_0068,Chemin d'Hauconcourt,57525,TALANGE,Chemin d'Hauconcourt - 57525 - TALANGE,DECH TALANGE,CC RIVES DE MOSELLE,,Professionnels,Particuliers,,Point d'apport volontaire,ZA d'Hauconcourt 57525 Talange,0.6973844827586206,locality,49.227151,6.179992
fvm_0069,Route de Bechy,57580,REMILLY,Route de Bechy - 57580 - REMILLY,DECH REMILLY,CC SUD MESSIN,,Professionnels,Particuliers,,Point d'apport volontaire,Route de Bechy 57580 Rémilly,0.9501045454545454,street,49.00693,6.394926
fvm_0070,141 A Les Hauts Chênes,57420,VERNY,141 A Les Hauts Chênes - 57420 - VERNY,DECH VERNY,CC SUD MESSIN,,Professionnels,Particuliers,,Point d'apport volontaire,141 Les Hauts Chenes 57420 Verny,0.8745899326599326,housenumber,49.022024,6.203658
fvm_0071,Rue du pré contal,54300,Lunéville,Rue du pré contal - 54300 Lunéville,Déchèterie LUNEVILLE,CC TERRITOIRE DE LUNEVILLE A BACCARAT,,Professionnels,Particuliers,,Point d'apport volontaire,Rue du Pré Contal 54300 Lunéville,0.9596,street,48.578946,6.515718
fvm_0072,BRENOLO,56660,SAINT JEAN BREVELAY,BRENOLO - 56660 SAINT JEAN BREVELAY,Déchèterie SAINT JEAN BREVELAY,Centre Morbihan communauté,02 97 60 42 29,Professionnels,Particuliers,,Point d'apport volontaire,Kerhern Brénolo 56660 Saint-Jean-Brévelay,0.7345326203208555,street,47.841443,-2.692565
fvm_0073,RUE DU 8 MAI 1945,91470,PECQUEUSE,RUE DU 8 MAI 1945 - 91470 PECQUEUSE,CHAVIGNY AGENCE DE LIMOURS,CHAVIGNY,01 64 91 00 44,,,Ecomaison,Point d'apport volontaire,Rue du 8 Mai 1945 91470 Pecqueuse,0.9424954545454545,street,48.646454,2.06027
fvm_0074,23 rue des Genêts,57800,Betting,23 rue des Genêts - 57800 - Betting,CITRAVAL BETTING,CITRAVAL,03 87 04 15 89,Professionnels,,,Point d'apport volontaire,23 Rue des Genêts 57800 Betting,0.9461109090909089,housenumber,49.135364,6.804232
fvm_0075,380 rue des épicéas,54840,BOIS-DE-HAYE,380 rue des épicéas - 54840 BOIS-DE-HAYE,CITRAVAL BOIS-DE-HAYE,CITRAVAL,03 83 64 62 94,Professionnels,,Valobat,Point d'apport volontaire,Rue des Epiceas 54840 Bois-de-Haye,0.829325219941349,street,48.704146,6.052097
fvm_0076,Rue Nicolas Barry,88150,Chavelot,Rue Nicolas Barry - 88150 - Chavelot,CITRAVAL CHAVELOT,CITRAVAL,03 29 29 81 86,Professionnels,,,Point d'apport volontaire,Rue Nicolas Barry 88150 Chavelot,0.9482518181818181,street,48.21585,6.436051
fvm_0077,Chemin de Ramonville,57120,Rombas,Chemin de Ramonville - 57120 - Rombas,CITRAVAL ROMBAS,CITRAVAL,03 87 67 84 08,Professionnels,,,Point d'apport volontaire,Chemin de Ramonville 57120 Rombas,0.955120909090909,street,49.236674,6.102181
fvm_0078,Rue de Sarrebourg,57400,Sarraltroff,Rue de Sarrebourg - 57400 - Sarraltroff,CITRAVAL SARRALTROFF,CITRAVAL,03 67 07 95 65,Professionnels,Particuliers,,Point d'apport volontaire,Rue de Sarrebourg 57400 Sarraltroff,0.9512036363636364,street,48.770198,7.065649
fvm_0079,rue de la Libération,50480,Ste-Mère-Eglise,rue de la Libération - 50480 Ste-Mère-Eglise,Decheterie de Carquebut,Com Com Baie du Cotentin,,Professionnels,Particuliers,,Point d'apport volontaire,rue de la libération 50480 Sainte-Mère-Église,0.8409844289044288,street,49.385742,-1.340256
fvm_0080,Kerdanvez,29160,Crozon,Kerdanvez - 29160 - Crozon,Déchèterie de Crozon,ComCom  Crozon,,Professionnels,Particuliers,,Point d'apport volontaire,Kerdanvez 29160 Crozon,0.9478063636363635,locality,48.248639,-4.430646
fvm_0081,Navarrou,29570,Camaret,Navarrou - 29570 - Camaret,Déchèterie de Camaret,ComCom  Crozon,,Professionnels,Particuliers,,Point d'apport volontaire,route du Fret 29570 Camaret-sur-Mer,0.3191848209366391,street,48.270796,-4.578899
fvm_0082,Kerguelen,29590,Rosnoën,Kerguelen - 29590 - Rosnoën,Déchèterie de Rosnoën,ComCom  Crozon,,Professionnels,Particuliers,,Point d'apport volontaire,Kerguelen 29590 Rosnoën,0.9437081818181817,street,48.268302,-4.157507
fvm_0083,Péren,29150,Chateaulin,Péren - 29150 - Chateaulin,Déchèterie de chateaulin,ComCom chateaulin,,Professionnels,Particuliers,,Point d'apport volontaire,Route de Peren 29150 Châteaulin,0.6082836363636364,street,48.2311,-4.041095
fvm_0084,Cosquerou,29190,Pleyben,Cosquerou - 29190 - Pleyben,Déchèterie de Pleyben,ComCom chateaulin,,Professionnels,Particuliers,,Point d'apport volontaire,Cosquerou 29190 Pleyben,0.9464309090909091,street,48.263117,-3.943388
fvm_0085,La croix neuve,29550,Plonevez Porzay,La croix neuve - 29550 - Plonevez Porzay,Déchèterie de Plonenez Porzay,ComCom chateaulin,,Professionnels,Particuliers,,Point d'apport volontaire,Croix Neuve 29550 Plonévez-Porzay,0.8513988401253918,street,48.134034,-4.229709
fvm_0086,8 rue des Ateliers,67210,Obernai,8 rue des Ateliers - 67210 Obernai,Déchèterie d'Obernai,ComCom du Pays de Ste Odile,03 88 95 53 52,Professionnels,Particuliers,,Point d'apport volontaire,8 Rue des Ateliers 67210 Obernai,0.9579090909090909,housenumber,48.455066,7.496169
fvm_0087,RD 215,67880,Krautergersheim,RD 215 - 67880 Krautergersheim,Déchèterie de Krautergersheim,ComCom du Pays de Ste Odile,03 88 95 53 52,Professionnels,Particuliers,,Point d'apport volontaire,,,,,
fvm_0088,209 Av. de la Roudet,33500,Libourne,209 Av. de la Roudet - 33500 Libourne,Déchèterie professionnelle de Libourne,Communauté d'Agglomération du Libourne,,Professionnels,Particuliers,,Point d'apport volontaire,209 Avenue de la Roudet 33500 Libourne,0.8033090909090909,housenumber,44.943428,-0.238529
fvm_0089,2 route de la Belle Croix,50200,Gratot,2 route de la Belle Croix - 50200 Gratot,Decheterie de Gratot,Coutances Mer et Bocage,,Professionnels,Particuliers,,Point d'apport volontaire,Route de la Belle Croix 50200 Gratot,0.8867644281524926,street,49.05813,-1.48123
