source	name_guess	email	tel	cp	ville	web
CCI-PDL-2023		christophe.cabanetos@recyclavie.fr	02 41 70 30 69			meublesloizeau.com
CCI-PDL-2023		clemence@madeinclemence.com	02 53 20 31 96			ressourceriedesbiscottes.fr
CERC-NA-2025		clorent@atis-asso.org				adi-na.fr
CCI-PDL-2023	RENOVEMBAL	commerce@tris.fr	02 41 70 30 69			meublesloizeau.com
CCI-PDL-2023		commercial-palettes@adbemmaus.com	05 49 81 13 22			ateliers-du-bocage.fr
CCI-PDL-2023		commercial.palettes@adb-emmaus.com	02 40 50 57 00			murfy.fr
CCI-PDL-2023		commercial@adb-emmaus.com	05 49 81 09 72	79140	Le Pin
www	ateliers-du-bocage.fr
ADEME-Centre	CONSTRUCTION FRANCE	construction.centre@apave.com				
ADEME-Centre		contact@agyre.com	02.37.18.48.00			bellastock.com
CCI-PDL-2023	APIVET	contact@apivet49.com	02 41 60 88 00			
ADEME-Centre;CCI-PDL-2023		contact@articonnex.com	02.18.88.92.82			sumar-groupe.fr
ADEME-Centre	ATELIER TAC	contact@ateliertac.fr	09.83.01.47.99			
ADEME-Centre		contact@bellastock.com	02.37.18.48.00			agyre.com
ADEME-Centre		contact@bhpr.fr	02.38.66.74.41			building-sa.fr
CCI-PDL-2023		contact@boisdebout53.fr	06 65 43 95 60			articonnex.com
ADEME-Centre		contact@bonsens-sarl.com	02.54.70.02.80			atecobois.fr
ADEME-Centre		contact@building-sa.fr	02.38.66.74.41			
CCI-PDL-2023		contact@carton-vert.com	06 65 43 95 60			lilokawa.com
ADEME-Centre	EMYS CONCEPTION	contact@cdcconseil.fr	02.47.46.32.42			
ADEME-Centre	CDC CONSEIL	contact@cycle-up.fr	01.44.07.67.38			
CCI-PDL-2023		contact@deltamod.fr	07 67 10 51 64			tiwood.fr
ADEME-Centre	DORISON SARL	contact@dorison.fr	02.43.93.03.46			restauration-pierres-49.fr
CCI-PDL-2023		contact@eco-rconcept.fr	02 53 55 36 61			articonnex.com
Bretagne-ESS		contact@ecrouvis.org	07.57.18.01.72			
ADEME-Centre		contact@emysconception.com	02.47.46.32.42			cdcconseil.fr
ADEME-Centre	DE LOIRE	contact@fpi-centre.fr				caue45.fr
ADEME-Centre	HENOT TP	contact@henot-tp.fr	02.47.65.78.91			servibat-valluth.fr
CERC-NA-2025	LONS (64 140)	contact@idre-dc.org	06 26 66 76 20			
CCI-PDL-2023		contact@kraken-lighting.fr	02 41 96 13 50			ergosante.fr
CCI-PDL-2023		contact@laboutique-informatique.fr	02 41 58 46 53			letabli.org
CCI-PDL-2023		contact@laboutiqueinformatique.fr	02 41 92 67 59			
Bretagne-ESS		contact@lerepair.org	06.61.37.78.83	29410	Pleyber-Christ

Vente en l	
CCI-PDL-2023		contact@les-grands-bois.fr	06 67 53 36 62			
CCI-PDL-2023		contact@leschantiersdureemploi.fr	07 57 43 46 75			kraken-lighting.fr
ADEME-Centre		contact@ligeris.fr	02.38.66.40.99			sully-immobilier.fr
CCI-PDL-2023		contact@lm-lr.com	02 41 58 46 53			ergosante.fr
CCI-PDL-2023		contact@loire-ecodistribution.com	07 67 10 51 64			carton-vert.com
CCI-PDL-2023		contact@m-d-r.com	02 41 86 77 09			deltamod.fr
CCI-PDL-2023		contact@m3d53.fr	06 77 09 19 48			etic53.fr
ADEME-Centre	BAC MAISON BOIS	contact@maisonsbois-bac.com	02.18.88.94.11			sumar-groupe.fr
CCI-PDL-2023		contact@matieregrise.org	06 67 53 36 62			leschantiersdureemploi.fr
CCI-PDL-2023		contact@meublesloizeau.com	02 41 86 77 09			loire-ecodistribution.com
ADEME-Centre	CONSTRUCTION	contact@moneco-construction.com				lnarchitecture.fr
CCI-PDL-2023		contact@negopro.fr	02 40 43 82 37			envie.org
CCI-PDL-2023		contact@okamac.com	02 41 24 80 04			sens-it.fr
ADEME-Centre		contact@palabres.fr	06.37.28.53.41			remixremix.fr
CCI-PDL-2023		contact@palettes-services.com	02 41 58 46 53			ppl49.com
CCI-PDL-2023		contact@paletteslelandais.fr	02 43 02 92 86	53420	CHAILLAND

Palettes

Réparation et r	
CCI-PDL-2023		contact@planetoffice.fr	02 43 75 78 75			envie.org
CCI-PDL-2023		contact@ppl49.com	02 53 55 36 61			articonnex.com
ADEME-Centre	MATÉRIAUX	contact@remixremix.fr	06.37.28.53.41			
CCI-PDL-2023	RENOVEMBAL	contact@renovpal.fr	02 40 04 32 49			ocaburo.fr
CCI-PDL-2023	RENOVEMBAL	contact@ressourceriedesbiscottes.fr	02 41 70 30 69			meublesloizeau.com
ADEME-Centre	SUMAR.F FAÇONNAGES	contact@restauration-pierres-49.fr	02.47.61.32.10			
CCI-PDL-2023	RENOVEMBAL	contact@revie-verre.org	02 40 04 32 49			negopro.fr
CCI-PDL-2023	RENOVEMBAL	contact@revisit.fr	02 41 70 30 69			m-d-r.com
ADEME-Centre	GROUPE SODIATEC	contact@sodiatec.fr	02.47.75.19.07			sodiatec.com
ADEME-Centre		contact@sully-immobilier.fr	02.38.66.40.99			ligeris.fr
ADEME-Centre		contact@valdeberry.fr	02.38.66.40.99			sully-immobilier.fr
CCI-PDL-2023	RENOVEMBAL	contact@vendeepalettes.fr	02 40 04 32 49			renovembal.fr
Bretagne-ESS		coordination.ec56@gmail.com	07.83.03.87.42			
CCI-PDL-2023		coordination@letabli.org	02 72 69 00 87			kraken-lighting.fr
Bretagne-ESS		corentin.prime@r-min.org	06.01.01.34.22			
Bretagne-ESS		d.pekkip@compagnonsbatisseurs.eu	06.80.68.49.45			
CERC-NA-2025		d.sinnasse@odeys.fr				inae-nouvelleaquitaine.org
Bretagne-ESS		dafarnaum@gmail.com	06.42.22.06.12			
CCI-PDL-2023	Au magasin ENVIE LAVAL :	david.poignant@iter-lemans.fr				iter-lemans.com
CCI-PDL-2023		developpement.enviemaine@envie.org	06 65 43 95 60			lilokawa.com
CCI-PDL-2023		developpementdurablecci49@maineetloire.cci.fr	02 40 44 60 00			cci.fr
CCI-PDL-2023		ecocycleriemateriaux@gmail.com	07 62 95 12 33	49110	Destination des produits

Modalités	
CERC-NA-2025		economie-circulaire@nouvelle-aquitaine.fr				nobatek.com
CCI-PDL-2023	ENVIE 72	envie.2emaine@envie.org	02 72 88 07 90	72700	Informatique et téléphonie

Partie r	envie-maine.com
CCI-PDL-2023		envieautonomie44@envie.org	02 41 45 70 94			aer-recyclage.com
CCI-PDL-2023		envieautonomie49@envie.org	05 86 79 99 88			chantierspeupins.fr
CCI-PDL-2023		envieautonomie85@envie.org	02 51 12 07 35			deltamod.fr
CCI-PDL-2023	ENVIE 72	enviemainemagasin72@envie.org	02 43 50 32 33			envie-maine.com
CCI-PDL-2023		equipe@chantierspeupins.fr	02 41 45 70 94			articonnex.com
CCI-PDL-2023		exploitation44@envie.org	02 40 43 82 37	44800	St Herblain	
Bretagne-ESS		fabien.perault@la-reserve.bzh	07.45.18.09.03	29200	Brest

Vente en l	
CCI-PDL-2023		fcanteau@adb-emmaus.com				chantierspeupins.com
CCI-PDL-2023		hello@atelier-camion.com	06 64 30 54 68			ppl49.com
CCI-PDL-2023		hello@atelier-camion.fr				atelier-camion.com
ADEME-Centre	DURABLE	immobilierdurable.france@socotec.com	02.47.70.40.30			
CCI-PDL-2023		info@100detours.com	05 49 74 05 63			
CCI-PDL-2023		infos@ausiris.com	02 40 92 81 78			alise-emploi.fr
CCI-PDL-2023		inservet@hotmail.com	02 43 75 78 75			ergosante.fr
Bretagne-ESS		jfchoquer@e-tribord.com	06.21.84.71.21			
CCI-PDL-2023		juliette@okamac.com	06 67 44 26 56			negopro.fr
CERC-NA-2025		k.rausch@adi-na.fr				ademe.fr
CERC-NA-2025		karine.ramos@dreets.gouv.fr				cress-na.org
CERC-NA-2025		l.allonneau@cress-na.org				cerc-na.fr
ADEME-Centre		l.bridier@atecobois.fr	02.54.83.66.92			
CCI-PDL-2023		lauren.mounichy@mayenne.cci.fr	02 40 44 60 00			cci.fr
CCI-PDL-2023		legrenier.demenagement@etic53.fr	02 43 30 45 00			m3d53.fr
CERC-NA-2025	LES MEMBRES	limoges@cerc-na.fr	05 47 47 62 43	33520	Bruges
Tél	cerc-actu.com
Bretagne-ESS		lionel.cocherie@retrilog.fr	07.84.30.02.85			
ADEME-Centre		ln@lnarchitecture.fr	02.59.16.31.64			cdcconseil.fr
CCI-PDL-2023		logistique@laressourcerieculturelle.com	07 57 43 46 75			ppl49.com
CCI-PDL-2023		m.dbane@leschantiersdureemploi.fr	07 81 67 71 98			eco-rconcept.fr
CCI-PDL-2023		magasin44sth@envie.org	02 40 43 21 11	44800	St Herblain	
CCI-PDL-2023		magasin85lr@envie.org	02 44 40 88 44			
ADEME-Centre		marlinv@centre.ffbatiment.fr	02.47.76.12.34			ffbatiment.fr
CCI-PDL-2023		matheriauteque@sileo49.fr	02 41 34 39 81			envie.org
CCI-PDL-2023		mathieu.badaud@murfy.fr	07 81 67 71 98			embipack.com
Bretagne-ESS		maudjan@steredenn.org	06.74.09.48.13			
CCI-PDL-2023		maxime.bleskine@voltr.tech	06 03 58 11 93			renovembal.fr
CCI-PDL-2023		mcosquer@largo.fr	02 41 58 46 53			ppl49.com
CCI-PDL-2023		mdeguine@tiwood.fr	07 57 43 46 75			largo.fr
CERC-NA-2025		mdehaeck@nobatek.com				inae-nouvelleaquitaine.org
CCI-PDL-2023		mickael.morcrette@envie.org	02 51 12 07 35			carton-vert.com
CERC-NA-2025		mlardon@ecomaison.com				ecominero.fr
ADEME-Centre		mo@habitat-drouais.fr	02.37.38.60.00			
CCI-PDL-2023		n.loiret@ergosante.fr	02 40 50 57 00			negopro.fr
CCI-PDL-2023		nantes@ocaburo.fr	02 40 50 57 00			
Bretagne-ESS		noemie@murmur-reemploi.com	07.62.52.08.39			
CCI-PDL-2023	2E VIE	olivier@2e-vie.com				vie.com
CCI-PDL-2023	BESOIN :	olivier@2evie.com	02 43 69 89 02			alise-emploi.fr
ADEME-Centre		oprec.service@gmail.com				socotec.com
ADEME-Centre		orleans@tri-n-collect.fr	07.43.36.75.00	41240	Beauce la Romaine
fjfenergies	fjfenergies.fr
CERC-NA-2025		p.fondard@scopbtp.org				reseau-renaitre.com
CERC-NA-2025		patricia.flambert@valobat.fr				valdelia.org
CCI-PDL-2023		pole-dev-durable@44.cci.fr	02 40 44 60 00			cci.fr
ADEME-Centre		ppavard@covali.fr	02.47.68.13.82			
CERC-NA-2025	CASTETNAU-CAMBLONG (64 190)	professionnel.aima@gmail.com	05 59 66 16 90			assoaima.org
CERC-NA-2025		r.dasneves@reseau-renaitre.com				nouvelle-aquitaine.fr
CCI-PDL-2023		recyclerie@aubonheurdesbennes.fr	06 65 43 95 60			laressourcerieculturelle.com
CCI-PDL-2023		reemploi@articonnex.com	02 53 55 36 61			
Bretagne-ESS		reemploi@noria-formation.org	07.67.70.06.60	44460	Saint-Nicolas-de-Redon	
CERC-NA-2025		reemploi@valdelia.org				ecomaison.com
CCI-PDL-2023	BESOIN :	relationclient@aer-recyclage.com	02 49 49 26 27			embipack.com
Bretagne-ESS		ronan.cornec@lecyclope-reemploi.fr	06.95.95.01.88			
Bretagne-ESS		s.fruit@batirecup.fr	06.95.20.18.16			
CCI-PDL-2023	BESOIN :	s.garnier@alternatri.fr	02 43 69 89 02			alise-emploi.fr
CCI-PDL-2023		sales@matmond.eu	02 51 40 69 67			
ADEME-Centre		sarl.bardeau@wanadoo.fr	02.54.83.66.92			atecobois.fr
CCI-PDL-2023		sav85lr@envie.org	05 86 79 99 88			chantierspeupins.fr
CCI-PDL-2023		secretariat-49@envie.org	07 67 10 51 64			carton-vert.com
ADEME-Centre		servibatvalluth@gmail.com				servibat-valluth.fr
CERC-NA-2025		sg@capeb-nouvelle-aquitaine.fr				atis-asso.org
CCI-PDL-2023		simon.robin@monatelierconnecte.fr	02 41 70 30 69			largo.fr
CCI-PDL-2023	MATMOND	sles@matmond.eu	02 51 40 69 67			
CCI-PDL-2023		solidarauto49@orange.fr	02 53 20 31 96			laressourcerieculturelle.com
CCI-PDL-2023		soustraitance@alise-emploi.fr	06 65 43 95 60			lilokawa.com
CCI-PDL-2023		stherblain@ocaburo.fr	02 40 50 57 00			
CERC-NA-2025		t.galliano@inae-nouvelleaquitaine.org				idre-dc.org
Bretagne-ESS	Emmaüs TERRE	terredetous@mailo.com	06.03.19.81.71			
CCI-PDL-2023	BESOIN :	thomas.sery@odea49.fr	02 49 49 26 27			ergosante.fr
CCI-PDL-2023		tony.campos@embipack.com	02 49 49 26 27			aer-recyclage.com
ADEME-Centre		tours@tri-n-collect.fr	02 54 89 68 08	41240	Beauce la Romaine
fjfenergies	fjfenergies.fr
CCI-PDL-2023		transition_ecologique@vendee.cci.fr	02 40 44 60 00			cci.fr
CERC-NA-2025		turlanm@nelleaquitaine.ffbatiment.fr				gouv.fr
